name,url
spearow,https://pokeapi.co/api/v2/pokemon/21/
fearow,https://pokeapi.co/api/v2/pokemon/22/
ekans,https://pokeapi.co/api/v2/pokemon/23/
arbok,https://pokeapi.co/api/v2/pokemon/24/
pikachu,https://pokeapi.co/api/v2/pokemon/25/
raichu,https://pokeapi.co/api/v2/pokemon/26/
sandshrew,https://pokeapi.co/api/v2/pokemon/27/
sandslash,https://pokeapi.co/api/v2/pokemon/28/
nidoran-f,https://pokeapi.co/api/v2/pokemon/29/
nidorina,https://pokeapi.co/api/v2/pokemon/30/
nidoqueen,https://pokeapi.co/api/v2/pokemon/31/
nidoran-m,https://pokeapi.co/api/v2/pokemon/32/
nidorino,https://pokeapi.co/api/v2/pokemon/33/
nidoking,https://pokeapi.co/api/v2/pokemon/34/
clefairy,https://pokeapi.co/api/v2/pokemon/35/
clefable,https://pokeapi.co/api/v2/pokemon/36/
vulpix,https://pokeapi.co/api/v2/pokemon/37/
ninetales,https://pokeapi.co/api/v2/pokemon/38/
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/
zubat,https://pokeapi.co/api/v2/pokemon/41/
golbat,https://pokeapi.co/api/v2/pokemon/42/
oddish,https://pokeapi.co/api/v2/pokemon/43/
gloom,https://pokeapi.co/api/v2/pokemon/44/
vileplume,https://pokeapi.co/api/v2/pokemon/45/
paras,https://pokeapi.co/api/v2/pokemon/46/
parasect,https://pokeapi.co/api/v2/pokemon/47/
venonat,https://pokeapi.co/api/v2/pokemon/48/
venomoth,https://pokeapi.co/api/v2/pokemon/49/
diglett,https://pokeapi.co/api/v2/pokemon/50/
dugtrio,https://pokeapi.co/api/v2/pokemon/51/
meowth,https://pokeapi.co/api/v2/pokemon/52/
persian,https://pokeapi.co/api/v2/pokemon/53/
psyduck,https://pokeapi.co/api/v2/pokemon/54/
golduck,https://pokeapi.co/api/v2/pokemon/55/
mankey,https://pokeapi.co/api/v2/pokemon/56/
primeape,https://pokeapi.co/api/v2/pokemon/57/
growlithe,https://pokeapi.co/api/v2/pokemon/58/
arcanine,https://pokeapi.co/api/v2/pokemon/59/
poliwag,https://pokeapi.co/api/v2/pokemon/60/
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/
poliwrath,https://pokeapi.co/api/v2/pokemon/62/
abra,https://pokeapi.co/api/v2/pokemon/63/
kadabra,https://pokeapi.co/api/v2/pokemon/64/
alakazam,https://pokeapi.co/api/v2/pokemon/65/
machop,https://pokeapi.co/api/v2/pokemon/66/
machoke,https://pokeapi.co/api/v2/pokemon/67/
machamp,https://pokeapi.co/api/v2/pokemon/68/
bellsprout,https://pokeapi.co/api/v2/pokemon/69/
weepinbell,https://pokeapi.co/api/v2/pokemon/70/
victreebel,https://pokeapi.co/api/v2/pokemon/71/
tentacool,https://pokeapi.co/api/v2/pokemon/72/
tentacruel,https://pokeapi.co/api/v2/pokemon/73/
geodude,https://pokeapi.co/api/v2/pokemon/74/
graveler,https://pokeapi.co/api/v2/pokemon/75/
golem,https://pokeapi.co/api/v2/pokemon/76/
ponyta,https://pokeapi.co/api/v2/pokemon/77/
